"p_ID","Default_Names","Dead_Code","Total_Blocks"
10519701,3,0,9
10541430,0,0,85
10942522,0,1,216
11823040,0,0,3
11828235,1,5,41
12030146,13,4,281
12237615,3,3,41
12256407,1,0,9
12441584,3,0,126
12596438,20,0,172
12597047,1,0,2
12597397,1,0,2
12683181,7,0,111
13223646,0,0,427
13357844,0,1,139
13618241,2,0,6
14073938,2,3,112
14125270,15,0,293
14137046,0,0,359
14161862,5,2,103
14742679,1,0,29
14860321,16,0,160
15032542,1,0,97
15086346,1,1,87
15118716,1,0,10
15141278,0,1,9
15163360,2,3,33
15187520,1,0,41
15296441,0,0,36
15529084,1,5,75
15548188,1,0,59
15591364,1,0,13
15592031,0,0,11
15649432,0,4,1284
15819791,0,0,67
15819951,0,0,246
16180058,0,0,29
16198429,0,0,13
16198525,0,0,8
16306675,3,3,251
16661772,1,0,24
16661794,0,0,25
16661984,0,33,16838
16751890,2,0,42
16767928,4,0,81
16774433,8,0,16
17062315,5,0,61
17290000,0,0,6
17386637,0,0,53
17622951,2,0,11
17647115,2,1,491
17816709,1,3,29
18312831,7,0,347
18560469,7,2,149
18560642,2,0,28
18636660,0,0,22
18637871,0,0,53
18675494,1,0,4
18711726,2,0,26
18763210,1,1,61
18806652,2,0,208
18851372,0,0,61
18856080,0,1,170
18956179,1,0,49
19281509,6,0,141
19346754,0,0,192
19347202,0,0,4
19531164,0,0,107
19534949,0,0,42
19589342,5,0,179
19799958,25,1,293
20058771,0,0,4
20522740,1,5,33
20708751,8,0,166
21003299,1,2,64
21019413,1,0,5
21086973,0,2,51
21114832,0,0,93
21194845,1,0,19
21349661,0,3,18
21476971,0,0,8
21477255,0,0,19
21482185,4,0,97
21532395,0,0,135
21578441,0,0,63
21667944,1,0,19
21672166,0,1,203
21883410,0,1,7
21890116,5,11,3129
21915960,2,0,422
22175345,3,7,821
22244288,1,5,45
22321403,1,1,46
22335593,0,0,5
22371439,3,0,27
22416667,2,1,143
22593858,1,7,21
22656427,1,0,38
22705735,0,0,56
22707529,1,0,24
22890514,5,19,309
23012151,1,0,12
23105860,0,0,71
23248451,0,2,4
23314974,0,0,13
23341439,1,0,55
23442969,0,0,114
23476512,6,0,83
23625729,2,0,24
23783300,1,0,36
23809738,3,0,89
23830376,4,3,154
23879428,1,0,30
23887080,0,0,1131
23938450,4,1,70
24047905,1,0,360
24067422,1,0,7
24084689,0,0,127
24250158,0,0,8
24390947,53,5,2017
24571853,15,0,172
24622443,0,2,124
24636049,0,0,841
24637739,10,34,877
24640285,3,0,112
24649469,0,0,650
24694037,0,31,12021
24771716,3,0,58
